#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1959.00,100.00,-0.01,-2.00
1959.00,100.00,-0.01,-2.10
1960.00,100.00,-0.01,-2.20
1961.00,100.00,0.07,-2.30
1958.00,100.00,-0.05,-2.40
1956.00,100.00,-0.14,-2.50
1959.00,100.00,-0.03,-2.60
1959.00,100.00,-0.11,-2.70
1959.00,100.00,-0.07,-2.80
1959.00,100.00,-0.03,-2.90
1959.00,100.00,0.01,-3.00
1960.00,100.00,0.05,-3.10
1958.00,100.00,-0.03,-3.20
1957.00,100.00,-0.15,-3.30
1961.00,100.00,0.02,-3.40
1964.00,100.00,0.13,-3.50
1969.00,100.00,0.33,-3.60
1976.00,100.00,0.59,-3.70
1978.00,100.00,0.80,-3.80
1975.00,100.00,0.70,-3.90
1969.00,100.00,0.37,-4.00
1969.00,100.00,0.37,-4.00
1973.00,100.00,0.47,-4.00
1972.00,100.00,0.39,-4.00
1966.00,100.00,0.27,-4.00
1963.99,100.00,0.28,-4.00
1964.99,100.00,0.21,-4.00
1964.99,100.00,0.21,-4.00
1948.99,100.00,-0.40,-4.00
1953.99,100.00,-0.21,-4.00
1945.99,100.00,-0.54,-4.00
1945.99,100.00,-0.58,-4.00
1948.99,100.00,-0.38,-4.00
1937.99,100.00,-0.80,-4.00
1924.99,100.00,-1.47,-4.00
1911.98,100.00,-2.08,-4.00
1911.98,100.00,-2.27,-4.00
1917.98,100.00,-2.29,-4.00
1919.97,100.00,-2.31,-4.00
1919.97,100.00,-2.20,-4.00
1888.97,100.00,-3.24,-4.00
1885.98,100.00,-3.35,-4.00
1887.98,100.00,-3.41,-4.00
1867.98,100.00,-4.20,-4.00
1866.98,100.00,-3.98,-4.00
1863.98,100.00,-4.04,-4.00
1863.98,100.00,-4.08,-4.00
1835.98,100.00,-5.16,-4.00
1833.98,100.00,-4.62,-4.00
1849.98,100.00,-4.14,-4.00
1838.99,100.00,-4.20,-4.00
1825.99,100.00,-4.74,-4.00
1813.99,100.00,-5.37,-4.00
1816.99,100.00,-4.80,-4.00
1810.99,100.00,-4.55,-4.00
1808.99,100.00,-4.13,-4.00
1795.99,100.00,-4.67,-4.00
1796.99,100.00,-4.89,-4.00
1794.99,99.00,-5.04,-4.00
1794.99,99.00,-5.04,-4.00
1786.99,99.00,-4.03,-4.00
1786.99,99.00,-3.93,-4.00
