-0.01,,,,,
0,,,,,
0,,,,,
-0.08,,,,,
0,,,,,
-0.04,,,,,
-0.01,,,,,
-0.05,,,,,
-0.02,,,,,
0.01,,,,,
-0.04,,,,,
-0.03,,,,,
-0.04,,,,,
-0.02,,,,,
-0.01,,,,,
-0.02,,,,,
-0.05,,,,,
0,,,,,
0.03,,,,,
-0.01,,,,,
-0.02,,,,,
-0.02,,,,,
-0.03,,,,,
0.01,,,,,
0.03,,,,,
-0.01,,,,,
-0.02,,,,,
-0.02,,,,,
0.02,,,,,
-0.01,,,,,
-0.07,,,,,
-0.02,,,,,
-0.01,,,,,
0.01,,,,,
-0.03,,,,,
-0.03,,,,,
-0.02,,,,,
-0.03,,,,,
-0.02,,,,,
-0.02,,,,,
-0.02,,,,,
-0.07,,,,,
-0.03,,,,,
-0.03,,,,,
0,,,,,
0,,,,,
-0.01,,,,,
-0.01,,,,,
0,,,,,
-0.03,,,,,
-0.03,,,,,
-0.02,,,,,
-0.02,,,,,
-0.06,,,,,
0,,,,,
0.02,,,,,
-0.06,,,,,
-0.02,,,,,
0,,,,,
-0.03,,,,,
-0.05,,,,,
-0.04,,,,,
-0.02,,,,,
-0.02,,,,,
-0.02,,,,,
-0.04,,,,,
-0.04,,,,,
0.02,,,,,
-0.02,,,,,
-0.02,,,,,
-0.02,,,,,
0.04,,,,,
-0.04,,,,,
0,,,,,
0,,,,,
-0.03,,,,,
0,,,,,
0.02,,,,,
-0.04,,,,,
0.04,,,,,
-0.07,,,,,
-0.03,,,,,
0.01,,,,,
-0.01,,,,,
-0.02,,,,,
0,,,,,
-0.03,,,,,
-0.02,,,,,
-0.01,,,,,
-0.04,,,,,
-0.03,,,,,
0,,,,,
-0.01,,,,,
-0.07,,,,,
-0.01,,,,,
-0.01,,,,,
-0.04,,,,,
-0.01,,,,,
-0.04,,,,,
-0.01,,,,,
-0.05,,,,,
-0.04,,,,,
-0.02,,,,,
0.01,,,,,
-0.05,,,,,
-0.02,,,,,
-0.03,,,,,
-0.04,,,,,
-0.06,,,,,
-0.05,,,,,
-0.02,,,,,
-0.06,,,,,
-0.06,,,,,
-0.07,,,,,
-0.05,,,,,
-0.01,,,,,
-0.03,,,,,
-0.04,,,,,
-0.01,,,,,
0,,,,,
-0.07,,,,,
-0.01,,,,,
-0.06,,,,,
-0.03,,,,,
-0.05,,,,,
-0.05,,,,,
-0.06,,,,,
-0.02,,,,,
-0.03,,,,,
-0.06,,,,,
-0.05,,,,,
-0.03,,,,,
0,,,,,
-0.05,,,,,
-0.06,,,,,
-0.03,,,,,
-0.06,,,,,
0,,,,,
-0.03,,,,,
-0.04,,,,,
-0.01,,,,,
-0.03,,,,,
-0.02,,,,,
-0.03,,,,,
-0.02,,,,,
-0.04,,,,,
-0.05,,,,,
-0.04,,,,,
-0.05,,,,,
0,,,,,
-0.03,,,,,
-0.04,,,,,
-0.03,,,,,
-0.01,,,,,
-0.05,,,,,
-0.08,,,,,
-0.02,,,,,
-0.02,,,,,
-0.02,,,,,
-0.03,,,,,
0,,,,,
-0.06,,,,,
-0.02,,,,,
-0.01,,,,,
-0.02,,,,,
-0.04,,,,,
-0.04,,,,,
-0.01,,,,,
-0.05,,,,,
-0.04,,,,,
0.01,,,,,
-0.04,,,,,
-0.07,,,,,
0.01,,,,,
-0.06,,,,,
-0.01,,,,,
-0.04,,,,,
-0.07,,,,,
-0.03,,,,,
-0.05,,,,,
-0.04,,,,,
-0.06,,,,,
-0.04,,,,,
-0.04,,,,,
-0.02,,,,,
1.11,,,,,
0.76,,0,,,
0.78,,-0.01,,,
0.82,,-0.01,,,
0.84,,0,,,
0.77,,-0.02,,,
0.8,,-0.01,,,
0.82,,-0.02,,,
0.83,,-0.01,,,
0.77,,-0.01,,,
0.82,,-0.02,,,
0.81,,-0.02,,,
0.8,,-0.03,,,
0.83,,-0.01,,,
0.8,,-0.03,,,
0.82,,-0.02,,,
0.84,,-0.02,,,
0.82,,-0.03,,,
0.8,,0,,,
0.78,,-0.01,,,
0.78,,-0.02,,,
0.79,,-0.01,,,
0.77,,-0.01,,,
0.81,,-0.01,,,
0.81,,-0.05,,,
0.8,,-0.01,,,
0.74,,-0.01,,,0.800384615
0.77,,-0.03,,,
